name;brand_name;price;discount;discounted_price;image_url;description;category;subcategory
Axe Provoke Deodorant;Axe;Rs. 165;0;Rs. 165;http://www.jabong.com/axe-Provoke-Deodorant-447484.html;Impress everyone around you wearing the refreshing fragrance of this ‘Provoke Deodorant’ from the house of AXE. The tempting fragrance of this deodorant for men contains masculine notes of coconut, marshmallow, hazelnut and caramel. Luxurious and long-lasting, it will keep you fresh and rejuvenated all day long.;1;3
Casmara Mask;Casmara;Rs. 4900;0;Rs. 4900;http://www.jabong.com/casmara-Casmara-Mask-2080-20-pcs-KIT-507944.html;"Pamper your facial skin with this 20-piece mask kit from CASMARA. This kit of 10 pieces of face gel sand 10 pieces of facial powders is a great pick to get glowing skin. This kit consists of 24 karat gold dust that will surely revitalise your skin and so is a must-have.
Special features        The 24K Gold Dust provides a tightening
effect for the face and neckline whilst aiding the
intense nutrition and revitalization obtained from
the MINERALS at the same time.
Kit Contents & How to Use        STEP 1 Mix the ratio of gel and powder into a suitable bowl.
STEP 2 Using a spatula, preferably plastic, stir both phases together briskly for about 30 
seconds, forming a smooth paste.
STEP 3 With the same spatula apply and extend the mask on the face within about 4 minutes,
before it starts to set. It is possible to cover eyes and lips.
STEP 4 Leave the mask on to act for 15 to 20 minutes.
STEP 5 Remove the mask in one piece.";1;3
The Body Shop 4 Pc White Musk Sport Medium Gift Set;The Body Shop;Rs. 4295;5%;Rs. 4080;http://www.jabong.com/the-body-shop-4-Pc-White-Musk-Sport-Medium-Gift-Set-147768.html;This kit from the house of The Body Shop is meant for those who like to keep their skin healthy. The musks in this kit will keep your skin scented and moisturised. Gift yourself this kit today, and pamper your skin like never before. This is also an ideal option for gifting.;1;3
Giordano P6868 Black Analog Watch;Giordano;Rs. 5850;66%;Rs. 1999;http://www.jabong.com/giordano-P6868-Black-Analog-Watch-183702.html;"Featuring silver coloured trims on the black base, two sub-dials displaying local and home time and a sleek silhouette, this watch from Giordano would add instant class to your corporate and casual attire. The stainless steel strap would sit comfortably on your wrist while the push-button deployment clasp makes it easy to wear. 
Type        Analog Watches
Water Resistance        3 ATM
Case Material        STAINLESS STEEL
Warranty        1 YEAR
USP        This is a guaranteed, 100% genuine Giordano watch. To verify authenticity, follow the below steps :
1. Identify the hologram sticker in the user manual.
2. Scratch the space in grey (like a scratch card) on this sticker to see your watch unique serial number.
3. Log on to www.giowarranty.com. Enter all details to register your watch
Color        Black
Dial Shape        Round
Material        Stainless Steel";1;4
MTV Brown Aviator;MTV;Rs. 3450;80%;Rs. 699;http://www.jabong.com/mtv-Brown-Aviator-244430.html;"Stay in style this season wearing these brown coloured Aviators from MTV. Featuring a metal frame, these full-rim sunglasses are durable. The UV-protected lenses are good for your sensitive eyes. Team these sunglasses with your casual, formal or semi-formal outfits.
Type        Aviators
Lens Type        UV PROTECTED
Product Dimensions        Eye Width : 60 mm ; Nose bridge : 15mm ; Arm length : 130 mm ; Frame Width : 135 mm
Frame Shape        Aviator
Color        Brown
Frame Color        Gun-Metal
Lens Color        Brown
Material        Metal";1;4
United Colors of Benetton Dark Military Basic Belt;United Colors of Benetton ;Rs. 699;0;Rs. 699;http://www.jabong.com/United-Colors-of-Benetton-Dark-Military-Basic-Belt-567229.html;" Made from polyester, this belt is durable and lightweight. The brand logo inscribed on the metal buckle will surely impress you instantly.
Color        Blue
Material        Polyester";1;4
Ycode Black2FMulti Moblie Covers For Iphone 5;Ycode;Rs. 599;15%;Rs. 509;http://www.jabong.com/ycode-Black-Multi-Moblie-Covers-For-Iphone-5-470623.html;"Here is a great, light-weight option for protecting your Apple iPhone 5 in the form of this black coloured mobile cover from the house of Ycode. Made using plastic, this mobile cover is like a second skin and a must have accessory!
Type        Mobile Covers & Cases
Device Model        Apple iPhone 5
Device Brand        Apple
Color        Black
Material        Plastic
Device Brand        Apple
Device Model        Apple iPhone 5";1;4
NEOPACK Navy Blue Covers & Cases;NEOPACK ;Rs. 999;0;Rs. 999;http://www.jabong.com/neopack-Navy-Blue-Covers-Cases-485634.html;"You will become a trendsetter by carrying your tablet in this navy blue coloured ‘Book Type’ case from Neo Pack. This case is designed to provide complete protection to your tablet from scratch and damage. Its quality PU (polyurethane) material adds to its durability.
Type        Mobile Covers & Cases
Color        Navy Blue
Material        PU";1;4
Parker Chrome Galaxy Ss Gt Ball Pen With Wallet;Parker;Rs. 1050;0;Rs. 1050;http://www.jabong.com/parker-Chrome-Galaxy-Ss-Gt-Ball-Pen-With-Wallet-520280.html;"Pen down your revolutionary ideas with this silver coloured ballpoint pen by Parker. Made from stainless steel, this pen features Quinkflow® technology for an uninterrupted and smooth writing experience. You can also gift this pen to your friend, who loves writing.  
Type        Ball Pens
USP        Galaxy, the new design from Parker, meant for those young aspirants who are willing to experiment and love to win. New slim design. Adorned with shiny hood at top. Gold Plated trims for premium look. Stainless steel cap with classic plastic finish barrel.
Color        Silver
Material        Stainless Steel";1;4
Sheaffer Basket Ball Fountain Pen;Sheaffer ;Rs. 1450;40%;Rs. 870;http://www.jabong.com/sheaffer-Basket-Ball-Fountain-Pen-223626.html;"Writing will be a delightful experience with this fountain pen from the house of Sheaffer. Assuring smooth and blotproof writing, this fountain pen mesmerises with its multicoloured body and fine engraving on the clip. A delight to possess, this fountain pen will also serve as an excellent birthday gift for your father.  
Type        Fountain Pens
USP        This is a brand new fountain pen. Never used nor dipped. Original Sheaffer pen in Sheaffer packing. 2 cartridges will accompany the fountain pen.Stainless steel trim and cap button.Engraving on clip Sheaffer USAáUnbeatable value, smooth writing.
Color        Multi";1;4
Titan Black Rimless;Titan;Rs. 1520;0;Rs. 1520;http://www.jabong.com/titan-Black-Rimless-550802.html;"Titan offers this black coloured frame that will certainly deck up your everyday look. Made from metal, this unisex frame will last for years to come.  A true value for money, this rimless frame can be used with both power and anti-glare lenses.
Color        Black
Material        Metal";1;4
ILINA Tzprsrbox14 Silver Watch Case;ILINA ;Rs. 1399;0;Rs. 1399;http://www.jabong.com/ilina-Tzprsrbox14-Silver-Watch-Case-548350.html;"If your beloved sister is too possessive about her expensive, vintage timepiece, then this silver coloured watch organiser from Ilina will be an ideal gift. A perfect blend of style and utility, this watch organiser will help in keeping her favourite watch safe in a fashionable manner. Made from faux leather, this organiser is durable and will easily fit in her travel bag. 
Type        Watch Cases
Product Dimensions        D-9 x L-20.5 cms
USP        MDF Wood, Faux Leather, Poly Cotton Filling, Space for 3 Watches. Travel Case with 3 Watch Compartments.
Color        Silver
Material        Faux Leather";1;4
Casio Classic MTP 1192E 7ADF 1 Brown / White Analog Watch;Casio;Rs. 2995;5%;Rs. 2846;http://www.jabong.com/casio-Classic-MTP-1192E-7ADF-1-Brown-White-Analog-Watch-114825.html;"Keep up with time in this stylish watch. Accessorize your wear every time you are out with your friends or at work. Styling was never so easy. With this watch on your wrist, you are sure to steal some glances your way.
Type        Analog Watches
Product warranty        2 YEAR
USP        Note that the warranty does not cover: 
1. Damage caused to strap, case or acrylic crystal due to mishandling.
2. Scratching or peeling off of the printing.
3. Normal signs of fading of the strap and case.
Color        Brown
Material        Leather";1;4
Miss Bennett Boat Neck Bow Top;Miss Bennett;Rs. 599;0;Rs. 599;http://www.jabong.com/miss-bennett-Boat-Neck-Bow-Top-296378.html;"Check out this maronn coloured ‘Missbcoret’ top from Miss Bennett that is designed to rev up the appearance of the wearer. This top features an attractive bow motif attached on the front that adds to its attraction. This cotton top will be soft against your skin and comfortable to wear. Match it with black coloured jeans to look your casual best.
Fabric        Polyester
Wash Care        MACHINE WASH COLD, DO NOT DRY CLEAN, DO NOT BLEACH, COOL IRON IF NEEDED
Fit        Regular
Color        Maroon";2;1
Sangria Blue Printed Anarkali Cotton Kurta;Sangria;Rs. 1099;0;Rs. 1099;http://www.jabong.com/Sangria-Blue-Printed-Anarkali-Cotton-Kurta-With-3-4Th-Sleeves-And-Brocade-Fabric-At-Neck-Cuffs-And-Hemline-490957.html;"Breathe life into your seasonal wardrobe wearing this kurta by Sangria. Made from cotton, this kurta is light in weight and perfect for daily wear. The dupatta and salwar will further accentuate your ethnic look.
Fabric        Cotton
Fit        Regular
Color        Blue";2;1
Fabdeal Printed Multi Saree;Fabdeal;Rs. 1500;15%;Rs. 1049;http://www.jabong.com/fabdeal-Printed-Multi-Saree-189144.html;"Check out this beautiful, multicoloured saree that offers a refreshing change from the traditional ones! Featuring a stripe pattern, this saree from Fabdeal will make a great choice for those kitty parties. Additionally, the georgette fabric will offer excellent drape and fall for your convenience.
Fabric        Georgette
Wash Care        HAND WASH / DRY IN SHADE
Style        Printed
Color        Multi";2;1
Lara Karen Khaki Cotton Slim Fit Trousers;Lara Karen;Rs. 799;0;Rs. 799;http://www.jabong.com/Lara-Karen-Khaki-Cotton-Slim-Fit-Trousers-469556.html;"Flaunt a no-fuss look as you wear these trousers from the house of Lara Karen. Made from cotton, these stretchable trousers will accentuate your look effortlessly. Club these with your favourite top and step out in a casual yet classy look.
Fabric        Cotton
Fit        Slim Fit
Length        Full Length
Style        SOLIDS
Color        Khaki";2;1
I Know 3/4th Sleeve White Dress;I Know;Rs. 1999;0;Rs. 1999;http://www.jabong.com/i-know-3-4Th-Sleeve-White-Dress-537097.html;"Jet from casual to conservative & vice-versa with ease wearing this white coloured dress from the house of I Know. Crafted from crepe, it will keep you comfortable throughout the party. This sexy dress can be best teamed with matching sandals and a clutch.
Fabric        Crepe
Sleeves        3/4th Sleeve
Neck        Round Neck
Wash Care        HAND WASH
Fit        Regular
Length        Mini/Short
Color        White";2;1
Begin101 Pink Linen Printed Shirt;Begin101;Rs. 1099;55%;Rs. 499;http://www.jabong.com/begin101-Pink-Linen-Printed-Shirt-459068.html;"Pink coloured printed shirt for women by Begin101. Made from linen this shirt comes in regular-fit.
Fabric        Linen
Wash Care        Gentle hand wash in Cold. Iron at low heat. Dry in shade.
Fit        Regular
Style        Printed
Color        Pink";2;1
Hypno Tex Georgette Embroidered White Dress Material;Hypno Tex;Rs. 5099;0;Rs. 5099;http://www.jabong.com/hypno-tex-Georgette-Embroidered-White-Dress-Material-554066.html;"It’s time to look your best at an upcoming family function as you wear a designer suit stitched using this white coloured dress material by Hypnotex. Featuring zari and patch patta work, this dress material will surely impress you instantly. It consists of a faux georgette top, shantoon bottom and a chiffon dupatta. Choose your own style of sleeves and neck to receive a lot of compliments.
Fabric        Georgette
Length        Full Length
Package Contents        TOP, BOTTOM, AND DUPATTA
Style        Embroidered
Color        White";2;1
Puma Stretchable Purple Cotton Capris;Puma;Rs. 1799;0;Rs. 1799;http://www.jabong.com/Puma-Stretchable-Purple-Cotton-Capris-369924.html;"Hit the gym in style wearing these purple coloured 3/4ths from the house of PUMA. Made from cotton spandex, these regular-fit 3/4ths will keep you comfortable while working out or running. The elasticated waistband will provide a snug fit. Team these with a black coloured T-shirt and complete your sporty look.
Fabric        Cotton Spandex(Stretchable)
Fit        Regular
Length        3/4th Length
Style        SOLIDS
Color        Purple";2;1
Vero Moda Medium Blue Long Sleeve Denim Jacket;Vero Moda ;Rs. 3495;0;Rs. 3495;http://www.jabong.com/vero-moda-Medium-Blue-Long-Sleeve-Denim-Jacket-566975.html;"Denim jackets are always in vogue. Check out this blue coloured jacket from VERO MODA that is a must-have for modern women. Made from polycotton, this regular-fit jacket ensures great comfort all day long. Wear this hip-length jacket over a white coloured top and team it with a pair of jeans to complete your casual look for the day.
Fabric        Denim
Sleeves        Full Sleeve
Neck        Collar
Wash Care        dark colours to be washed separately
Fit        Regular
Length        Hip length
Color        Blue";2;1
Femella Formal Side Peplum Dress;Femella;Rs. 1050;0;Rs. 1050;http://www.jabong.com/Femella-Formal-Side-Peplum-Dress-579731.html;"Get ready for a corporate party by wearing this peach coloured peplum dress from Femella. Classy in design, this dress will surely increase your style quotient. Made from cotton spandex, this stretchable dress will cling perfectly to your figure.
Type        Peplum Dress
Fabric        Cotton Spandex(Stretchable)
Sleeves        Sleeve Less
Neck        Round Neck
Wash Care        Cold Wash
Length        MIDI
Style        SOLIDS
Color        Peach";2;1
Reebok Drive Lp Black Floaters;Reebok ;Rs. 1499;25%;Rs. 1124;http://www.jabong.com/Reebok-Drive-Lp-Black-Floaters-31965.html;"Looking for comfortable footwear for your summer casuals? Put some style in your attire with these smart black sandals from Reebok. Made from high quality non-leather material, these sandals feature velcro strap which offers snug fit. Wear these with a pair of shorts to get the perfect casual look!
Upper Material        Non Leather
Sole Material        Pu
Inner Lining        Non Leather
Closing        Velcro
Product warranty        3 Month Against Manufacturing Defects
Color        Black
Upper Material Details        SYNTHETIC LEATHER";2;2
Carlton London Black Belly Shoes;Carlton London;Rs. 1795;0;Rs. 1795;http://www.jabong.com/Carlton_London-Black-Belly-Shoes-381153.html;"Make the heads turn as you step out with this pair of black coloured belly shoes by Carlton London. Experience the blissful comfort as you adorn this pair of belly shoes, which is crafted using comfortable TPR (thermoplastic rubber) sole. Chinese collar shirt and high-rise pants with this pair will make you look like a diva.
Upper Material        Non Leather
Sole Material        TPR
Inner Lining        Non Leather
Closing        Slip On
Heel shape        Flat
Heel height        Flat: 0-1.5 Inch
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Color        Black
Upper Material Details        SYNTHETIC LEATHER";2;2
